date,hour,trip_count,avg_duration_min
2024-04-22,2,433,10.347774172440339
2024-04-22,3,280,9.886461011904762
2024-04-22,4,197,9.5954141285956
2024-04-22,5,115,11.496214782608696
2024-04-22,6,60,10.461522222222223
2024-04-22,7,56,12.905081249999999
2024-04-22,8,43,11.714445736434108
2024-04-22,9,96,11.883378125
2024-04-22,10,421,9.734894576405384
2024-04-22,11,1211,12.508745127993395
2024-04-22,12,2086,11.614780385107064
2024-04-22,13,1186,10.959381928049467
2024-04-22,14,952,10.659662535014006
2024-04-22,15,1139,10.969656877377817
2024-04-22,16,1501,12.06551222518321
2024-04-22,17,1419,11.484989194268264
2024-04-22,18,1433,12.993745022098164
2024-04-22,19,1914,13.891680242075932
2024-04-22,20,2708,13.316146134908912
2024-04-22,21,3599,13.40497405297768
2024-04-22,22,2786,12.739683865757359
2024-04-22,23,2039,11.694351463135524
2024-04-23,0,1442,11.511118215441517
2024-04-23,1,1089,10.780442516069789
2024-04-23,2,804,10.938208789386401
2024-04-23,3,438,10.966629147640791
2024-04-23,4,237,9.731413150492266
2024-04-23,5,125,11.892912666666668
2024-04-23,6,69,10.217213285024155
2024-04-23,7,61,11.729540163934427
2024-04-23,8,49,12.158228911564628
2024-04-23,9,147,12.405283333333333
2024-04-23,10,543,11.73359100675261
2024-04-23,11,1796,13.835640979955457
2024-04-23,12,3177,12.6428281817228
2024-04-23,13,1669,11.706585260635112
2024-04-23,14,1324,12.479750730110775
2024-04-23,15,1492,13.020670878016087
2024-04-23,16,2122,12.690295578071003
2024-04-23,17,1982,13.824241717120753
2024-04-23,18,1913,14.236553075448684
2024-04-23,19,2466,15.14877440524466
2024-04-23,20,3701,14.50644497883455
2024-04-23,21,4992,14.387749726228634
2024-04-23,22,3604,12.86674798372179
2024-04-23,23,2508,12.670413098086124
2024-04-24,0,1722,12.64077743902439
2024-04-24,1,1387,11.905217291516461
2024-04-24,2,1057,11.468111857458215
2024-04-24,3,498,9.575770080321286
2024-04-24,4,191,9.656719458987784
2024-04-24,5,107,10.420638940809969
2024-04-24,6,62,10.934579838709677
2024-04-24,7,50,12.157166
2024-04-24,8,36,10.260385185185186
2024-04-24,9,98,10.40332976190476
2024-04-24,10,304,8.986915350877194
2024-04-24,11,648,10.613330092592593
2024-04-24,12,826,9.766923305084745
2024-04-24,13,367,8.522870072661217
2024-04-24,14,295,8.884088983050848
2024-04-24,15,403,8.16634106699752
2024-04-24,16,622,9.564052947481242
2024-04-24,17,717,9.909690260344027
2024-04-24,18,951,10.910393778478793
2024-04-24,19,1509,11.801034658714382
2024-04-24,20,2504,12.23048916400426
2024-04-24,21,3324,12.397491456077015
2024-04-24,22,2804,11.559562173086068
2024-04-24,23,1952,11.262871482240438
2024-04-25,0,1303,10.785637119467895
2024-04-25,1,1121,10.53145471305382
2024-04-25,2,834,10.286730075939248
2024-04-25,3,530,10.690314842767295
2024-04-25,4,275,10.433261575757575
2024-04-25,5,156,10.812584294871796
2024-04-25,6,78,10.786895512820513
2024-04-25,7,61,12.808671311475411
2024-04-25,8,56,11.15320744047619
2024-04-25,9,122,10.159372404371585
2024-04-25,10,469,10.647014250177683
2024-04-25,11,1462,12.381753761969904
2024-04-25,12,2677,12.232954563566182
2024-04-25,13,1513,10.850084093412645
2024-04-25,14,1077,11.26306979263386
2024-04-25,15,1392,11.70377480842912
2024-04-25,16,1768,12.080363998868778
2024-04-25,17,1637,12.122838678476889
2024-04-25,18,1649,12.827597331716193
2024-04-25,19,2217,13.692031281010374
2024-04-25,20,3156,13.869173679763414
2024-04-25,21,4330,13.676621916859121
2024-04-25,22,3352,13.23668294550517
2024-04-25,23,2582,12.476193493415956
2024-04-26,0,1798,12.402586920652578
2024-04-26,1,1460,12.828339999999999
2024-04-26,2,1158,11.615350662061024
2024-04-26,3,798,11.117315371762741
2024-04-26,4,549,11.566614571948998
2024-04-26,5,331,11.690061983887212
2024-04-26,6,171,12.337919883040934
2024-04-26,7,131,11.350544910941476
2024-04-26,8,84,10.259704563492065
2024-04-26,9,138,9.477840338164253
2024-04-26,10,439,10.104495292331055
2024-04-26,11,1263,12.583307178675112
2024-04-26,12,2174,11.709735870898497
2024-04-26,13,1498,11.323212505562973
2024-04-26,14,1300,12.462968423076923
2024-04-26,15,1744,12.701545642201834
2024-04-26,16,2320,13.252578125
2024-04-26,17,2654,14.608445535041445
2024-04-26,18,2784,15.800083554837164
2024-04-26,19,3043,15.654692841494139
2024-04-26,20,3759,15.04814100381307
2024-04-26,21,4352,15.12224909620098
2024-04-26,22,4015,15.261853785803238
2024-04-26,23,3174,14.478541797941608
2024-04-27,0,2337,13.460836628155755
2024-04-27,1,1847,13.309111369788846
2024-04-27,2,1529,12.987437856987139
2024-04-27,3,1402,12.757600273418925
2024-04-27,4,1281,13.122263322924798
2024-04-27,5,971,12.833451922416751
2024-04-27,6,694,13.82606299231508
2024-04-27,7,484,13.981056508264462
2024-04-27,8,199,11.77043132328308
2024-04-27,9,150,11.315102555555557
2024-04-27,10,165,12.436917171717175
2024-04-27,11,452,11.933154682890855
2024-04-27,12,896,12.581972042410714
2024-04-27,13,1470,13.670564160997731
2024-04-27,14,2099,14.594733905034143
2024-04-27,15,2504,16.007908453141642
2024-04-27,16,2960,16.115904752252252
2024-04-27,17,3234,16.435308833230263
2024-04-27,18,3579,17.153220038185715
2024-04-27,19,3767,16.96717186532165
2024-04-27,20,3860,16.9115629447323
2024-04-27,21,3658,16.161358037178786
2024-04-27,22,3042,14.49735167104975
2024-04-27,23,1936,12.739590788567494
2024-04-28,0,1230,12.952717127371272
2024-04-28,1,1128,13.104239376477542
2024-04-28,2,1171,13.05834245658981
2024-04-28,3,1162,13.164022733792311
2024-04-28,4,1110,12.986308693693694
2024-04-28,5,818,14.497860717196414
2024-04-28,6,639,14.202956520605113
2024-04-28,7,555,13.832743633633633
2024-04-28,8,146,12.134318721461186
2024-04-28,9,42,8.296296825396826
2024-04-28,10,103,8.603331229773463
2024-04-28,11,241,9.87693644536653
2024-04-28,12,507,10.697127580539119
2024-04-28,13,864,11.10090731095679
2024-04-28,14,1407,11.929871937929398
2024-04-28,15,1774,12.939075516723037
2024-04-28,16,2035,13.920491179361179
2024-04-28,17,2258,14.130935754354885
2024-04-28,18,2783,15.008864396933765
2024-04-28,19,2613,14.60896692180125
2024-04-28,20,2266,14.149397661076788
2024-04-28,21,2340,15.364850413105412
2024-04-28,22,2280,15.155132134502926
2024-04-28,23,1935,14.865239422911284
2024-04-29,0,1635,14.531689367991845
2024-04-29,1,1215,14.52804122085048
2024-04-29,2,897,13.305189966555185
2024-04-29,3,578,12.049847289504036
2024-04-29,4,338,12.467532495069033
2024-04-29,5,210,13.045425
2024-04-29,6,96,11.271931423611113
2024-04-29,7,75,11.98092688888889
2024-04-29,8,74,10.829181981981982
2024-04-29,9,149,12.311318232662193
2024-04-29,10,556,10.852413788968825
2024-04-29,11,1612,13.032774172870141
2024-04-29,12,2699,12.232135259972829
2024-04-29,13,1469,12.003447991831177
2024-04-29,14,1185,12.117433994374121
2024-04-29,15,1520,12.249010877192982
2024-04-29,16,1895,12.317322233948989
2024-04-29,17,1829,12.793108228540186
2024-04-29,18,1880,13.09350949468085
2024-04-29,19,2400,13.936555791666667
2024-04-29,20,3482,13.728641537430596
2024-04-29,21,4922,15.050621271840713
2024-04-29,22,3762,13.695538060428849
2024-04-29,23,2824,13.23387709513692
2024-04-30,0,2029,12.837389132577623
2024-04-30,1,1509,11.875158438259334
2024-04-30,2,1069,12.734583302151544
2024-04-30,3,627,10.746312519936206
2024-04-30,4,301,9.58942984496124
2024-04-30,5,183,10.754619489981785
2024-04-30,6,77,10.300010389610389
2024-04-30,7,25,10.084718666666667
2024-04-30,8,40,9.051291666666668
2024-04-30,9,88,10.610748484848484
2024-04-30,10,172,8.63144980620155
2024-04-30,11,770,11.14879067099567
